accession,pangolin_lineage,mut_sum,stat_b,stat_s,stat_qs,stat_c,H_A_A,H_A_C,H_A_G,H_A_T,H_C_A,H_C_C,H_C_G,H_C_T,H_G_A,H_G_C,H_G_G,H_G_T,H_T_A,H_T_C,H_T_G,H_T_T
OZ296487,AY.122,39.0,,14.993824437582703,,2.994233883630119,8647.0,0.0,4.0,0.0,1.0,5310.0,2.0,16.0,4.0,0.0,5675.0,8.0,0.0,3.0,1.0,9273.0
OZ296488,AY.4.6,39.0,,17.697543294401935,,2.99423193049599,8652.0,0.0,6.0,0.0,1.0,5292.0,2.0,15.0,3.0,0.0,5678.0,9.0,0.0,2.0,1.0,9242.0
OZ296489,AY.43,40.0,20.730158730158728,16.050685368186162,,2.9941052796907868,8635.0,0.0,5.0,1.0,3.0,5301.0,2.0,15.0,2.0,0.0,5675.0,8.0,0.0,3.0,1.0,9257.0
OZ296490,AY.121,39.0,,15.904603701945899,,2.9942808187285306,8735.0,0.0,4.0,0.0,1.0,5355.0,2.0,17.0,3.0,0.0,5726.0,8.0,0.0,3.0,1.0,9345.0
OZ296491,AY.9.2,32.0,,10.684654300168631,,2.9952447750560127,8640.0,0.0,3.0,0.0,1.0,5315.0,2.0,14.0,4.0,0.0,5686.0,4.0,0.0,3.0,1.0,9272.0
OZ296492,AY.42,38.0,20.484962406015036,16.532396918894428,,2.9944572679142016,8735.0,0.0,4.0,0.0,1.0,5355.0,2.0,17.0,3.0,0.0,5727.0,7.0,1.0,2.0,1.0,9345.0
OZ296494,AY.9.2,34.0,,12.5579268292683,,2.994996637474683,8731.0,0.0,3.0,0.0,1.0,5357.0,2.0,16.0,4.0,0.0,5740.0,4.0,0.0,3.0,1.0,9376.0
OZ296495,AY.121,40.0,,16.077506318449878,,2.9941365349298277,8734.0,0.0,5.0,0.0,1.0,5355.0,2.0,17.0,3.0,0.0,5726.0,8.0,0.0,3.0,1.0,9345.0
OZ296496,AY.33,41.0,,15.016174686615454,,2.9939999543560067,8734.0,0.0,5.0,0.0,1.0,5356.0,2.0,16.0,2.0,0.0,5725.0,10.0,0.0,4.0,1.0,9344.0
OZ296497,AY.46.6,38.0,20.52847805788982,17.723190089043744,,2.99445957366493,8734.0,0.0,4.0,1.0,2.0,5356.0,2.0,15.0,3.0,0.0,5726.0,8.0,0.0,2.0,1.0,9346.0
OZ296498,AY.33,39.0,,17.697543294401935,,2.994291460114712,8733.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,3.0,0.0,5725.0,9.0,0.0,2.0,1.0,9346.0
OZ296501,B.1.617.2,41.0,,19.57944664031621,,2.993849053175559,8536.0,0.0,4.0,0.0,1.0,5266.0,2.0,18.0,3.0,1.0,5607.0,9.0,0.0,2.0,1.0,9195.0
OZ296502,AY.23.2,44.0,18.763636363636365,14.976377952755904,,2.9936364275497502,8729.0,0.0,6.0,1.0,1.0,5355.0,2.0,15.0,4.0,0.0,5722.0,10.0,1.0,3.0,1.0,9340.0
OZ296504,AY.33,37.0,,19.4961797752809,,2.9945261867146398,8637.0,0.0,6.0,0.0,1.0,5292.0,2.0,14.0,3.0,0.0,5681.0,9.0,0.0,1.0,1.0,9229.0
OZ296505,AY.68,38.0,14.38095238095238,10.329857819905214,1.089295305699594,2.994494464916915,8817.0,1.0,4.0,0.0,1.0,5403.0,2.0,17.0,2.0,0.0,5791.0,5.0,1.0,4.0,1.0,9446.0
OZ296510,AY.33,36.0,,20.20799999999999,,2.9945684595646824,8477.0,0.0,6.0,0.0,1.0,5182.0,2.0,14.0,2.0,0.0,5577.0,9.0,0.0,1.0,1.0,9063.0
OZ296511,AY.46.6,33.0,,17.304902619207514,,2.995103645399368,8654.0,0.0,4.0,0.0,1.0,5293.0,2.0,14.0,3.0,0.0,5680.0,7.0,0.0,1.0,1.0,9243.0
OZ296512,AY.46.6,37.0,,13.271805273833671,,2.9945703814526454,8735.0,0.0,4.0,0.0,1.0,5357.0,2.0,15.0,4.0,0.0,5726.0,7.0,0.0,3.0,1.0,9345.0
OZ296513,AY.33,39.0,,17.697543294401935,,2.994291460114712,8733.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,3.0,0.0,5725.0,9.0,0.0,2.0,1.0,9346.0
OZ296514,AY.122,40.0,,14.21834061135371,,2.9940561845537914,8578.0,0.0,5.0,0.0,1.0,5274.0,2.0,16.0,2.0,0.0,5653.0,9.0,0.0,4.0,1.0,9220.0
OZ296515,AY.43,34.0,15.566666666666665,11.762605042016805,,2.994936782041092,8562.0,0.0,4.0,1.0,2.0,5249.0,2.0,12.0,2.0,0.0,5627.0,7.0,0.0,3.0,1.0,9137.0
OZ296516,AY.122,41.0,,16.76124031007751,,2.993937324815554,8644.0,0.0,4.0,0.0,1.0,5310.0,2.0,17.0,4.0,0.0,5670.0,9.0,0.0,3.0,1.0,9240.0
OZ296518,AY.38,39.0,15.966165413533833,14.389370523935161,0.2275930096568114,2.99435993401168,8815.0,1.0,5.0,1.0,1.0,5404.0,2.0,16.0,3.0,0.0,5789.0,6.0,0.0,3.0,1.0,9448.0
OZ296520,AY.46.6,38.0,20.52847805788982,17.723190089043744,,2.99445957366493,8734.0,0.0,4.0,1.0,2.0,5356.0,2.0,15.0,3.0,0.0,5726.0,8.0,0.0,2.0,1.0,9346.0
OZ296524,AY.46.6,33.0,20.396825396825395,18.330055316533496,,2.9947731158677984,8034.0,0.0,4.0,1.0,1.0,4914.0,2.0,13.0,2.0,0.0,5296.0,8.0,0.0,1.0,1.0,8559.0
OZ296528,AY.125,42.0,20.833333333333332,14.979258328095536,,2.9937335421044047,8508.0,0.0,5.0,0.0,1.0,5228.0,2.0,15.0,3.0,0.0,5578.0,11.0,1.0,3.0,1.0,9067.0
OZ296529,AY.106,35.0,,10.49738219895288,,2.9945379613684437,8228.0,0.0,4.0,0.0,1.0,5022.0,2.0,14.0,2.0,0.0,5406.0,7.0,0.0,4.0,1.0,8814.0
OZ296530,AY.68,38.0,14.38095238095238,10.329857819905214,1.089295305699594,2.994494464916915,8817.0,1.0,4.0,0.0,1.0,5403.0,2.0,17.0,2.0,0.0,5791.0,5.0,1.0,4.0,1.0,9446.0
OZ296532,AY.4,36.0,,15.55806783144913,,2.9947230910383245,8734.0,0.0,5.0,0.0,1.0,5358.0,2.0,14.0,3.0,0.0,5726.0,8.0,0.0,2.0,1.0,9346.0
OZ296533,AY.4,35.0,,10.25837018319646,,2.9948181824721747,8663.0,0.0,5.0,0.0,1.0,5308.0,2.0,14.0,2.0,0.0,5688.0,6.0,0.0,4.0,1.0,9305.0
OZ296535,AY.43,36.0,17.284313725490193,13.684905660377368,,2.9947969174409073,8817.0,0.0,4.0,1.0,2.0,5405.0,2.0,14.0,2.0,0.0,5789.0,7.0,0.0,3.0,1.0,9448.0
OZ296536,AY.43,36.0,20.133333333333333,16.686327077747983,,2.994651983565535,8544.0,0.0,4.0,1.0,2.0,5253.0,2.0,13.0,2.0,0.0,5614.0,9.0,0.0,2.0,1.0,9169.0
OZ296538,AY.129,37.0,,11.464411913175159,,2.9945285128867347,8651.0,0.0,5.0,0.0,1.0,5304.0,2.0,13.0,2.0,0.0,5678.0,9.0,0.0,4.0,1.0,9251.0
OZ296539,AY.42,39.0,20.3,17.130187854958496,,2.9942345190029953,8580.0,0.0,4.0,0.0,1.0,5241.0,1.0,18.0,4.0,0.0,5623.0,7.0,1.0,2.0,1.0,9167.0
OZ296540,AY.121,37.0,,14.432510051694436,,2.9943395711566683,8396.0,0.0,4.0,0.0,1.0,5133.0,2.0,17.0,3.0,0.0,5507.0,6.0,0.0,3.0,1.0,8997.0
OZ296541,B.1.617.2,26.0,,13.897018970189706,,2.9954753955129743,7386.0,0.0,4.0,0.0,1.0,4508.0,2.0,11.0,1.0,0.0,4871.0,5.0,0.0,1.0,1.0,7991.0
OZ296542,AY.122,39.0,,16.21279431363839,,2.994293104144436,8734.0,0.0,5.0,0.0,1.0,5357.0,2.0,15.0,2.0,0.0,5725.0,10.0,0.0,3.0,1.0,9345.0
OZ296543,AY.46.6,39.0,21.476190476190474,18.716285924834196,,2.9943128703221067,8734.0,0.0,4.0,1.0,2.0,5355.0,2.0,16.0,3.0,0.0,5726.0,8.0,0.0,2.0,1.0,9346.0
OZ296544,AY.129,36.0,,13.664105378704718,,2.9946675660813953,8648.0,0.0,5.0,0.0,1.0,5302.0,2.0,14.0,2.0,0.0,5675.0,8.0,0.0,3.0,1.0,9245.0
OZ296545,AY.4,37.0,,11.016692749087122,,2.9944829039893226,8587.0,0.0,4.0,0.0,1.0,5280.0,2.0,14.0,3.0,0.0,5637.0,8.0,0.0,4.0,1.0,9153.0
OZ296546,AY.33,44.0,,20.935729094678646,,2.9935656562693915,8734.0,0.0,5.0,0.0,1.0,5353.0,2.0,19.0,2.0,0.0,5724.0,11.0,0.0,3.0,1.0,9345.0
OZ296548,AY.106,40.0,20.95238095238095,19.404207841887146,0.27224286770481904,2.9939387584206654,8407.0,2.0,5.0,1.0,1.0,5157.0,2.0,16.0,2.0,0.0,5542.0,8.0,0.0,2.0,1.0,8954.0
OZ296549,AY.129,39.0,,13.167036872501114,,2.9942933029902754,8734.0,0.0,5.0,0.0,1.0,5358.0,2.0,14.0,2.0,0.0,5725.0,10.0,0.0,4.0,1.0,9344.0
OZ296550,AY.43,36.0,17.51111111111111,13.347280334728026,,2.9947870210534333,8733.0,0.0,4.0,2.0,2.0,5359.0,2.0,12.0,2.0,0.0,5727.0,8.0,0.0,3.0,1.0,9345.0
OZ296552,AY.35,29.0,,8.707356507679869,,2.9955224315685545,8438.0,0.0,5.0,0.0,2.0,5171.0,2.0,10.0,2.0,1.0,5539.0,4.0,0.0,2.0,1.0,8927.0
OZ296555,AY.5.4,40.0,,16.703930131004363,,2.9940411634307056,8587.0,0.0,4.0,0.0,1.0,5277.0,2.0,17.0,3.0,0.0,5636.0,9.0,0.0,3.0,1.0,9154.0
OZ296557,AY.41,43.0,,19.182853887781256,,2.993568516395458,8508.0,0.0,7.0,0.0,1.0,5229.0,2.0,14.0,4.0,0.0,5591.0,12.0,0.0,2.0,1.0,9085.0
OZ296559,AY.121,39.0,,14.181068171949626,,2.994092813683859,8435.0,0.0,5.0,0.0,1.0,5192.0,2.0,16.0,4.0,0.0,5551.0,7.0,0.0,3.0,1.0,9034.0
OZ296560,AY.125,42.0,20.833333333333332,14.979258328095536,,2.993854003615531,8677.0,0.0,5.0,0.0,1.0,5324.0,2.0,15.0,3.0,0.0,5688.0,11.0,1.0,3.0,1.0,9257.0
OZ296562,AY.122,31.0,,17.78174904942966,,2.9949126717784162,7779.0,0.0,6.0,0.0,1.0,4773.0,2.0,12.0,1.0,0.0,5149.0,7.0,0.0,1.0,1.0,8376.0
OZ296573,AY.7.1,43.0,21.642857142857142,16.525816649104325,,2.993652134239124,8585.0,0.0,5.0,0.0,2.0,5279.0,2.0,14.0,3.0,0.0,5632.0,12.0,1.0,2.0,2.0,9152.0
OZ296574,AY.129,40.0,,12.738170347003148,,2.994148767531041,8734.0,0.0,5.0,0.0,1.0,5358.0,2.0,14.0,3.0,0.0,5724.0,10.0,0.0,4.0,1.0,9344.0
OZ296661,AY.33,28.0,,16.021108179419517,,2.994632616995253,6627.0,0.0,3.0,0.0,1.0,4091.0,1.0,13.0,1.0,0.0,4378.0,7.0,0.0,1.0,1.0,7058.0
OZ296662,AY.122,34.0,18.752136752136753,17.279459711224973,0.145858439282651,2.994852111089708,8432.0,1.0,4.0,1.0,2.0,5152.0,2.0,12.0,2.0,0.0,5528.0,8.0,0.0,1.0,1.0,9000.0
OZ296663,AY.33,28.0,,14.85592185592186,,2.9944827876027595,6466.0,0.0,3.0,0.0,1.0,3988.0,1.0,13.0,2.0,0.0,4259.0,6.0,0.0,1.0,1.0,6863.0
OZ296664,AY.122,39.0,20.363636363636367,18.20908166723145,0.18276404659814613,2.994264087205499,8642.0,1.0,4.0,1.0,2.0,5312.0,2.0,14.0,2.0,0.0,5671.0,10.0,0.0,2.0,1.0,9242.0
OZ296665,AY.43,37.0,18.166666666666664,14.65170556552962,,2.9945460214981696,8643.0,0.0,4.0,1.0,2.0,5311.0,2.0,15.0,2.0,0.0,5674.0,7.0,0.0,3.0,1.0,9241.0
OZ296666,AY.125,39.0,,17.172372130487318,,2.9941333851138427,8505.0,0.0,5.0,0.0,1.0,5214.0,2.0,15.0,4.0,0.0,5588.0,9.0,0.0,2.0,1.0,9051.0
OZ296668,AY.122,39.0,20.363636363636367,18.20908166723145,0.18276404659814613,2.9943192025672896,8733.0,1.0,4.0,1.0,2.0,5357.0,2.0,14.0,2.0,0.0,5725.0,10.0,0.0,2.0,1.0,9346.0
OZ296780,AY.34.1,37.0,,17.012962962962966,,2.993783279588036,7634.0,0.0,5.0,0.0,2.0,4680.0,2.0,15.0,1.0,1.0,5063.0,8.0,0.0,2.0,1.0,8248.0
OZ296781,B.1.617.2,40.0,,14.911266201395817,,2.9940356418156284,8587.0,0.0,4.0,0.0,1.0,5275.0,2.0,18.0,2.0,0.0,5635.0,8.0,0.0,4.0,1.0,9174.0
OZ296782,AY.121,44.0,,21.909888823873608,,2.993547627587556,8735.0,0.0,5.0,0.0,2.0,5352.0,2.0,20.0,4.0,0.0,5723.0,8.0,0.0,2.0,1.0,9346.0
OZ296783,AY.41,44.0,,20.78781163434903,,2.9934755080404942,8585.0,0.0,6.0,0.0,1.0,5279.0,2.0,15.0,4.0,0.0,5631.0,13.0,0.0,2.0,1.0,9155.0
OZ296784,AY.121,41.0,,20.575851393188856,,2.993791926768509,8504.0,0.0,4.0,0.0,2.0,5184.0,2.0,20.0,4.0,0.0,5564.0,6.0,0.0,2.0,1.0,9084.0
OZ296785,AY.42,46.0,,21.638510445049945,,2.993329996339683,8815.0,2.0,5.0,0.0,1.0,5401.0,2.0,19.0,4.0,0.0,5784.0,10.0,0.0,2.0,1.0,9449.0
OZ296786,AY.70,34.0,,9.775764439411098,,2.9946954860245176,8311.0,0.0,4.0,0.0,2.0,5070.0,2.0,13.0,3.0,1.0,5457.0,5.0,0.0,3.0,1.0,8912.0
OZ296787,B.1.617.2,36.0,,18.434245840042937,,2.9944128218308355,8292.0,0.0,4.0,0.0,1.0,5092.0,2.0,16.0,3.0,1.0,5445.0,7.0,0.0,1.0,1.0,8935.0
OZ296788,AY.4,33.0,,14.301544660846199,,2.995154926793198,8734.0,0.0,5.0,0.0,1.0,5359.0,2.0,13.0,2.0,0.0,5728.0,7.0,0.0,2.0,1.0,9346.0
OZ296789,AY.33,40.0,,13.824675324675322,,2.994143029439164,8733.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,2.0,0.0,5726.0,9.0,0.0,4.0,1.0,9344.0
OZ296790,AY.41,44.0,,20.78781163434903,,2.9935840717908357,8733.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,4.0,0.0,5720.0,13.0,0.0,2.0,1.0,9346.0
OZ296791,AY.43,33.0,20.474358974358974,17.916155419222907,,2.9950383876669475,8416.0,0.0,4.0,2.0,2.0,5164.0,2.0,12.0,2.0,0.0,5536.0,7.0,0.0,1.0,1.0,8962.0
OZ296792,AY.46.6,35.0,,15.580877931449184,,2.994861361197883,8735.0,0.0,4.0,0.0,1.0,5357.0,2.0,15.0,3.0,0.0,5727.0,7.0,0.0,2.0,1.0,9346.0
OZ296793,AY.126,39.0,,20.67427701674278,,2.994280007225891,8734.0,2.0,5.0,0.0,1.0,5349.0,2.0,16.0,1.0,0.0,5735.0,9.0,0.0,2.0,1.0,9364.0
OZ296794,AY.129,38.0,,14.559732664995822,,2.9944299298331813,8734.0,0.0,5.0,0.0,2.0,5357.0,2.0,14.0,2.0,0.0,5726.0,9.0,0.0,3.0,1.0,9345.0
OZ296795,AY.33,37.0,,19.4961797752809,,2.9944353956821805,8504.0,0.0,6.0,0.0,1.0,5215.0,2.0,14.0,3.0,0.0,5589.0,9.0,0.0,1.0,1.0,9052.0
OZ296796,AY.33,41.0,,20.188728702490167,,2.9937140547118783,8432.0,0.0,6.0,0.0,2.0,5146.0,2.0,18.0,4.0,1.0,5527.0,6.0,0.0,1.0,1.0,9000.0
OZ296797,AY.4.6,30.0,,14.20210526315789,,2.9943441569466813,6739.0,0.0,4.0,0.0,1.0,4148.0,2.0,14.0,1.0,0.0,4505.0,5.0,0.0,2.0,1.0,7396.0
OZ296798,AY.4,36.0,,15.55806783144913,,2.9947755950664714,8817.0,0.0,5.0,0.0,1.0,5406.0,2.0,14.0,3.0,0.0,5787.0,8.0,0.0,2.0,1.0,9449.0
OZ296799,AY.33,44.0,,21.357859531772572,,2.9936144391991726,8814.0,1.0,7.0,0.0,1.0,5401.0,2.0,19.0,3.0,0.0,5787.0,8.0,0.0,2.0,1.0,9448.0
OZ296800,AY.126,40.0,,17.394601542416453,,2.994078166659278,8641.0,2.0,5.0,0.0,1.0,5311.0,2.0,15.0,3.0,0.0,5671.0,9.0,0.0,2.0,1.0,9242.0
OZ296801,B.1.617.2,25.0,,3.676923076923077,,2.995180567746778,6553.0,0.0,4.0,0.0,1.0,4051.0,1.0,9.0,2.0,0.0,4396.0,3.0,0.0,4.0,1.0,7146.0
OZ296802,AY.43,37.0,19.107843137254903,15.838499184339316,,2.9945819990170572,8643.0,0.0,4.0,1.0,2.0,5311.0,2.0,15.0,2.0,0.0,5674.0,7.0,1.0,2.0,1.0,9241.0
OZ296803,AY.42,44.0,,19.80726698262243,,2.993417856221951,8569.0,2.0,5.0,0.0,1.0,5244.0,2.0,19.0,4.0,0.0,5608.0,8.0,0.0,2.0,1.0,9190.0
OZ296804,AY.9.2,35.0,14.942857142857143,12.53745215965008,,2.9949655515889892,8817.0,0.0,3.0,2.0,1.0,5405.0,2.0,15.0,4.0,0.0,5790.0,4.0,0.0,3.0,1.0,9448.0
OZ296805,AY.125,37.0,,21.82107459572249,,2.994197300318487,8198.0,0.0,5.0,0.0,1.0,4989.0,2.0,17.0,2.0,0.0,5368.0,8.0,0.0,1.0,1.0,8747.0
OZ296806,AY.125,40.0,,18.160796324655433,,2.993923409069395,8427.0,0.0,5.0,0.0,1.0,5162.0,2.0,16.0,4.0,0.0,5532.0,9.0,0.0,2.0,1.0,8965.0
OZ296807,AY.46.6,38.0,19.888888888888886,17.660699062233594,,2.994459781776633,8733.0,0.0,5.0,1.0,1.0,5356.0,2.0,16.0,3.0,0.0,5727.0,7.0,0.0,2.0,1.0,9346.0
OZ296808,AY.42,41.0,,16.384930384930392,,2.9940136484939215,8818.0,0.0,4.0,0.0,1.0,5402.0,2.0,18.0,3.0,1.0,5786.0,8.0,0.0,3.0,1.0,9448.0
OZ296809,AY.33,40.0,,13.824675324675322,,2.994143029439164,8733.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,2.0,0.0,5726.0,9.0,0.0,4.0,1.0,9344.0
OZ296810,AY.33,43.0,,20.371362048894067,,2.993697350338848,8731.0,1.0,7.0,0.0,1.0,5354.0,2.0,18.0,3.0,0.0,5726.0,8.0,0.0,2.0,1.0,9345.0
OZ296811,AY.33,32.0,,16.61268556005398,,2.9949804037112973,8187.0,0.0,6.0,0.0,1.0,4993.0,2.0,12.0,2.0,0.0,5372.0,7.0,0.0,1.0,1.0,8754.0
OZ296812,AY.43,33.0,18.950549450549453,16.787638668779707,,2.9950888780209977,8562.0,0.0,4.0,1.0,2.0,5249.0,2.0,12.0,3.0,0.0,5626.0,7.0,0.0,1.0,1.0,9139.0
OZ296813,AY.41,42.0,,22.721393034825876,,2.993747321224905,8561.0,0.0,6.0,0.0,1.0,5247.0,2.0,15.0,4.0,0.0,5620.0,12.0,0.0,1.0,1.0,9139.0
OZ296814,AY.5.4,34.0,,19.374005305039795,,2.9946078973148262,8060.0,0.0,4.0,0.0,1.0,4948.0,2.0,15.0,2.0,0.0,5335.0,8.0,0.0,1.0,1.0,8602.0
OZ296815,AY.53,34.0,,8.658018867924532,,2.9946362517404497,8154.0,1.0,3.0,0.0,2.0,4969.0,2.0,13.0,2.0,0.0,5373.0,6.0,0.0,4.0,1.0,8789.0
OZ296870,B.1.617.2,26.0,,9.932291666666668,,2.995881347058076,8100.0,0.0,4.0,0.0,1.0,4944.0,2.0,9.0,1.0,0.0,5339.0,6.0,0.0,2.0,1.0,8770.0
OZ296871,AY.7.1,42.0,20.73076923076923,15.836871508379895,,2.99395970450835,8816.0,0.0,5.0,0.0,2.0,5405.0,2.0,14.0,3.0,0.0,5783.0,11.0,1.0,2.0,2.0,9446.0
OZ296872,AY.43,40.0,19.476190476190474,16.959210526315793,,2.994242397932586,8817.0,0.0,4.0,1.0,2.0,5405.0,2.0,14.0,3.0,0.0,5785.0,10.0,0.0,2.0,2.0,9448.0
OZ296873,AY.7.1,33.0,17.730158730158728,14.317762753534112,,2.994844030442596,8132.0,0.0,4.0,0.0,1.0,4974.0,2.0,13.0,2.0,0.0,5352.0,7.0,1.0,1.0,2.0,8730.0
OZ296874,AY.33,39.0,,17.697543294401935,,2.994291460114712,8733.0,0.0,6.0,0.0,1.0,5357.0,2.0,15.0,3.0,0.0,5725.0,9.0,0.0,2.0,1.0,9346.0
OZ296875,AY.9.2,35.0,14.942857142857143,12.53745215965008,,2.9949651934988353,8817.0,0.0,3.0,2.0,1.0,5404.0,2.0,15.0,4.0,0.0,5790.0,4.0,0.0,3.0,1.0,9448.0
OZ296876,AY.9.2,35.0,14.942857142857143,12.53745215965008,,2.9949655515889892,8817.0,0.0,3.0,2.0,1.0,5405.0,2.0,15.0,4.0,0.0,5790.0,4.0,0.0,3.0,1.0,9448.0
OZ296877,AY.7.1,42.0,20.73076923076923,15.836871508379895,,2.993898700802997,8733.0,0.0,5.0,0.0,2.0,5357.0,2.0,14.0,3.0,0.0,5722.0,11.0,1.0,2.0,2.0,9343.0
OZ296878,AY.7.1,42.0,20.73076923076923,15.836871508379895,,2.99395970450835,8816.0,0.0,5.0,0.0,2.0,5405.0,2.0,14.0,3.0,0.0,5783.0,11.0,1.0,2.0,2.0,9446.0
OZ296879,AY.7.1,42.0,20.73076923076923,15.836871508379895,,2.99395970450835,8816.0,0.0,5.0,0.0,2.0,5405.0,2.0,14.0,3.0,0.0,5783.0,11.0,1.0,2.0,2.0,9446.0
OZ296880,AY.7.1,42.0,20.73076923076923,15.836871508379895,,2.99395970450835,8816.0,0.0,5.0,0.0,2.0,5405.0,2.0,14.0,3.0,0.0,5783.0,11.0,1.0,2.0,2.0,9446.0
OZ296882,AY.7.1,42.0,20.73076923076923,15.836871508379895,,2.99395970450835,8816.0,0.0,5.0,0.0,2.0,5405.0,2.0,14.0,3.0,0.0,5783.0,11.0,1.0,2.0,2.0,9446.0
OZ296883,AY.7.1,43.0,21.642857142857142,16.525816649104325,,2.99382047511435,8816.0,0.0,5.0,0.0,2.0,5405.0,2.0,14.0,3.0,0.0,5782.0,12.0,1.0,2.0,2.0,9446.0
OZ296884,AY.9.2,35.0,14.942857142857143,12.53745215965008,,2.9949655515889892,8817.0,0.0,3.0,2.0,1.0,5405.0,2.0,15.0,4.0,0.0,5790.0,4.0,0.0,3.0,1.0,9448.0
OZ290798,B.1.1.7,18.0,11.833333333333334,4.272727272727274,,2.9966149446831962,6720.0,0.0,1.0,2.0,3.0,4138.0,0.0,7.0,0.0,2.0,4419.0,0.0,1.0,1.0,1.0,7105.0
OZ290799,B.1.1.7,33.0,17.555555555555554,11.631441617742992,-0.8088128132421808,2.9940358647700775,7009.0,0.0,3.0,2.0,3.0,4252.0,0.0,16.0,1.0,2.0,4668.0,2.0,1.0,2.0,1.0,7531.0
OZ290803,B.1.1.7,35.0,21.755555555555553,15.237406483790526,-1.0660699051119518,2.994550493052843,8212.0,0.0,2.0,2.0,3.0,5044.0,0.0,17.0,3.0,4.0,5457.0,1.0,1.0,1.0,1.0,8826.0
OZ290806,B.1.1.7,35.0,15.583333333333332,9.24475524475524,-1.1530524265349877,2.9948843068060658,8709.0,0.0,2.0,3.0,4.0,5341.0,0.0,13.0,2.0,4.0,5735.0,2.0,1.0,3.0,1.0,9358.0
OZ290817,B.1.1.7,26.0,16.307692307692307,8.620865139949107,-0.6781488183415163,2.99601880690187,8162.0,0.0,2.0,2.0,3.0,5003.0,0.0,12.0,0.0,2.0,5393.0,1.0,2.0,1.0,1.0,8799.0
OZ290820,B.1.1.7,37.0,14.533333333333335,9.448923499770942,-1.0898728170784513,2.9947347388157093,8884.0,0.0,2.0,3.0,3.0,5451.0,0.0,16.0,2.0,3.0,5840.0,2.0,1.0,4.0,1.0,9548.0
OZ290821,B.1.1.7,30.0,18.476190476190474,9.238095238095239,-0.7813375728697879,2.9953586519703417,8150.0,0.0,6.0,2.0,3.0,4990.0,0.0,12.0,0.0,2.0,5411.0,1.0,1.0,2.0,1.0,8768.0
OZ290822,B.1.1.7,35.0,11.088888888888889,7.201496259351621,-0.8913264153661589,2.9949808804083045,8796.0,0.0,2.0,2.0,2.0,5404.0,0.0,14.0,3.0,3.0,5774.0,2.0,2.0,4.0,1.0,9464.0
OZ290826,B.1.1.7,32.0,15.666666666666668,10.513784461152884,-0.9650897361209426,2.995375037828227,8806.0,0.0,2.0,2.0,3.0,5398.0,0.0,14.0,2.0,3.0,5787.0,2.0,1.0,2.0,1.0,9467.0
OZ290827,B.1.1.7,28.0,13.571428571428571,5.882352941176473,-0.8790367878141744,2.9958708061069568,8506.0,0.0,2.0,3.0,4.0,5216.0,0.0,11.0,0.0,2.0,5615.0,1.0,1.0,3.0,1.0,9129.0
OZ290830,B.1.1.7,28.0,12.904761904761905,6.052104208416835,-0.7975123210745078,2.9956977521852033,8127.0,0.0,2.0,3.0,3.0,4985.0,0.0,11.0,0.0,2.0,5403.0,2.0,1.0,3.0,1.0,8744.0
OZ290840,B.1.1.7,30.0,16.81904761904762,11.32090077410276,-1.028059737197006,2.9954079403735676,8321.0,0.0,2.0,2.0,3.0,5097.0,0.0,13.0,3.0,3.0,5501.0,1.0,1.0,1.0,1.0,8908.0
OZ290842,B.1.1.318,25.0,13.533333333333331,9.333333333333332,,2.996187350089743,8418.0,0.0,3.0,1.0,2.0,5141.0,0.0,10.0,2.0,2.0,5551.0,3.0,0.0,2.0,0.0,9041.0
OZ290844,B.1.1.7,33.0,17.22222222222222,11.412263535551208,-1.0382021706280222,2.995093618084509,8575.0,0.0,2.0,2.0,3.0,5254.0,0.0,16.0,2.0,3.0,5669.0,1.0,1.0,2.0,1.0,9176.0
OZ290849,B.1.1.7,36.0,16.333333333333332,10.459627329192546,-1.107788211715928,2.9946021151578694,8499.0,0.0,2.0,3.0,3.0,5202.0,0.0,15.0,2.0,4.0,5605.0,2.0,1.0,3.0,1.0,9087.0
OZ290850,B.1.1.7,19.0,12.833333333333334,5.904632152588557,,2.9962995222858817,6412.0,0.0,2.0,2.0,3.0,3984.0,0.0,7.0,0.0,2.0,4204.0,1.0,1.0,1.0,0.0,7021.0
OZ290853,B.1.1.7,30.0,9.704761904761906,4.6037735849056585,-0.7138958790211523,2.995423039465037,8164.0,1.0,2.0,4.0,3.0,4991.0,0.0,10.0,0.0,2.0,5380.0,2.0,1.0,4.0,1.0,8761.0
OZ290855,B.1.1.7,28.0,14.102564102564102,5.095406360424028,-0.8478194198449622,2.995792023938354,8406.0,0.0,4.0,2.0,4.0,5160.0,0.0,10.0,0.0,2.0,5535.0,1.0,1.0,3.0,1.0,9043.0
OZ290857,B.1.1.7,38.0,15.476190476190476,10.51328374070138,-1.1235104740226602,2.9945068850470897,8729.0,0.0,3.0,3.0,3.0,5366.0,0.0,15.0,4.0,3.0,5751.0,2.0,1.0,3.0,1.0,9375.0
OZ290861,B.1.1.7,32.0,15.666666666666668,10.513784461152884,-0.9650897361209426,2.9953869320604447,8827.0,0.0,2.0,2.0,3.0,5420.0,0.0,14.0,2.0,3.0,5805.0,2.0,1.0,2.0,1.0,9464.0
